"ID";"total activity in";"total activity out";"total activity inout";"SHA in percent";"SHA in number";"SHA out percent";"SHA out number";"SHA inout percent";"SHA inout number";"SHA not taken in percent";"SHA not taken in number";"SHA not taken out percent";"SHA not taken out number";"SHA not taken inout percent";"SHA not taken inout number";"IN_NO_ALARM percent";"IN_NO_ALARM number";"IN_AFTER_ALARM percent";"IN_AFTER_ALARM number";"IN_DURING_ALARM percent";"IN_DURING_ALARM number";"NOT_IN_NO_ALARM percent";"NOT_IN_NO_ALARM number";"NOT_IN_ALARM percent";"NOT_IN_ALARM number";"OUT_NO_ALARM percent";"OUT_NO_ALARM number";"OUT_AFTER_ALARM percent";"OUT_AFTER_ALARM number";"OUT_DURING_ALARM percent";"OUT_DURING_ALARM number";"NOT_OUT_NO_ALARM percent";"NOT_OUT_NO_ALARM number";"NOT_OUT_ALARM percent";"NOT_OUT_ALARM number";"INOUT_NO_ALARM percent";"INOUT_NO_ALARM number";"INOUT_AFTER_ALARM percent";"INOUT_AFTER_ALARM number";"INOUT_DURING_ALARM percent";"INOUT_DURING_ALARM number";"NOT_INOUT_NO_ALARM percent";"NOT_INOUT_NO_ALARM number";"NOT_INOUT_ALARM percent";"NOT_INOUT_ALARM number";"ABANDON_IN percent";"ABANDON_IN number";"ABANDON_OUT percent";"ABANDON_OUT number";"ABANDON_INOUT percent";"ABANDON_INOUT number";"IMPOSSIBLE percent";"IMPOSSIBLE number";
"725";"5790";"5737";"546";"28.45";"1647";"28.69";"1646";"38.64";"211";"71.55";"4143";"71.31";"4091";"61.36";"335";"17.17";"994";"10.24";"593";"1.04";"60";"30.88";"1788";"40.67";"2355";"21.95";"1259";"5.05";"290";"1.69";"97";"32.93";"1889";"38.38";"2202";"19.96";"109";"14.65";"80";"4.03";"22";"20.70";"113";"40.66";"222";"43.01";"206";"54.07";"259";"2.92";"14";"0.00";"0"
"726";"300";"264";"87";"68.33";"205";"45.83";"121";"87.36";"76";"31.67";"95";"54.17";"143";"12.64";"11";"66.00";"198";"2.00";"6";"0.33";"1";"17.00";"51";"14.67";"44";"42.05";"111";"1.89";"5";"1.89";"5";"41.29";"109";"12.88";"34";"87.36";"76";"0.00";"0";"0.00";"0";"5.75";"5";"6.90";"6";"23.29";"17";"72.60";"53";"4.11";"3";"0.00";"0"
"727";"5914";"5789";"1039";"20.10";"1189";"37.67";"2181";"37.63";"391";"79.90";"4725";"62.33";"3608";"62.37";"648";"12.73";"753";"5.16";"305";"2.22";"131";"33.72";"1994";"46.18";"2731";"30.63";"1773";"5.10";"295";"1.95";"113";"26.19";"1516";"36.14";"2092";"33.49";"348";"1.44";"15";"2.69";"28";"23.68";"246";"38.69";"402";"28.44";"91";"67.50";"216";"4.06";"13";"0.00";"0"
"729";"2102";"2049";"569";"10.70";"225";"32.21";"660";"21.44";"122";"89.30";"1877";"67.79";"1389";"78.56";"447";"7.28";"153";"3.38";"71";"0.05";"1";"30.35";"638";"58.94";"1239";"24.50";"502";"7.71";"158";"0.00";"0";"28.89";"592";"38.90";"797";"16.87";"96";"4.57";"26";"0.00";"0";"14.94";"85";"63.62";"362";"17.86";"15";"80.95";"68";"1.19";"1";"0.00";"0"
"730";"8";"8";"0";"25.00";"2";"50.00";"4";"0.00";"0";"75.00";"6";"50.00";"4";"0.00";"0";"25.00";"2";"0.00";"0";"0.00";"0";"75.00";"6";"0.00";"0";"50.00";"4";"0.00";"0";"0.00";"0";"50.00";"4";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0"
"731";"2578";"2552";"342";"22.27";"574";"38.68";"987";"31.29";"107";"77.73";"2004";"61.32";"1565";"68.71";"235";"16.29";"420";"5.86";"151";"0.12";"3";"34.91";"900";"42.82";"1104";"33.19";"847";"5.41";"138";"0.08";"2";"25.27";"645";"36.05";"920";"29.82";"102";"1.46";"5";"0.00";"0";"32.75";"112";"35.96";"123";"26.67";"16";"70.00";"42";"3.33";"2";"0.00";"0"
"732";"5539";"5448";"1051";"18.67";"1034";"34.31";"1869";"39.68";"417";"81.33";"4505";"65.69";"3579";"60.32";"634";"11.97";"663";"4.55";"252";"2.15";"119";"33.33";"1846";"48.01";"2659";"25.90";"1411";"6.00";"327";"2.40";"131";"30.21";"1646";"35.48";"1933";"26.26";"276";"8.75";"92";"4.66";"49";"19.41";"204";"40.91";"430";"37.34";"143";"61.10";"234";"1.57";"6";"0.00";"0"
"733";"1";"1";"1";"0.00";"0";"100.00";"1";"100.00";"1";"100.00";"1";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"1";"0.00";"0";"100.00";"1";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"1";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0"
"736";"981";"955";"162";"8.05";"79";"24.40";"233";"24.07";"39";"91.95";"902";"75.60";"722";"75.93";"123";"5.40";"53";"2.65";"26";"0.00";"0";"37.72";"370";"54.23";"532";"18.85";"180";"5.55";"53";"0.00";"0";"23.35";"223";"52.25";"499";"17.90";"29";"6.17";"10";"0.00";"0";"33.33";"54";"42.59";"69";"21.74";"10";"78.26";"36";"0.00";"0";"0.00";"0"
"747";"37";"40";"4";"8.11";"3";"15.00";"6";"75.00";"3";"91.89";"34";"85.00";"34";"25.00";"1";"5.41";"2";"0.00";"0";"2.70";"1";"45.95";"17";"45.95";"17";"7.50";"3";"0.00";"0";"7.50";"3";"47.50";"19";"37.50";"15";"0.00";"0";"25.00";"1";"50.00";"2";"25.00";"1";"0.00";"0";"100.00";"3";"0.00";"0";"0.00";"0";"0.00";"0"
"751";"2";"2";"0";"100.00";"2";"50.00";"1";"0.00";"0";"0.00";"0";"50.00";"1";"0.00";"0";"100.00";"2";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"50.00";"1";"0.00";"0";"0.00";"0";"0.00";"0";"50.00";"1";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0"
"753";"20";"20";"1";"35.00";"7";"40.00";"8";"0.00";"0";"65.00";"13";"60.00";"12";"100.00";"1";"35.00";"7";"0.00";"0";"0.00";"0";"65.00";"13";"0.00";"0";"30.00";"6";"0.00";"0";"10.00";"2";"60.00";"12";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"1";"0.00";"0";"50.00";"3";"50.00";"3";"0.00";"0";"0.00";"0"
"754";"5836";"5772";"589";"18.18";"1061";"44.80";"2586";"44.48";"262";"81.82";"4775";"55.20";"3186";"55.52";"327";"10.20";"595";"5.69";"332";"2.30";"134";"30.29";"1768";"51.53";"3007";"33.00";"1905";"10.12";"584";"1.68";"97";"27.60";"1593";"27.60";"1593";"19.69";"116";"17.49";"103";"7.30";"43";"17.66";"104";"37.86";"223";"39.34";"144";"56.83";"208";"3.83";"14";"0.00";"0"
"755";"6202";"6071";"955";"11.59";"719";"18.70";"1135";"14.35";"137";"88.41";"5483";"81.30";"4936";"85.65";"818";"7.67";"476";"3.45";"214";"0.47";"29";"38.18";"2368";"50.23";"3115";"13.64";"828";"4.56";"277";"0.49";"30";"30.72";"1865";"50.58";"3071";"11.62";"111";"2.30";"22";"0.42";"4";"30.37";"290";"55.29";"528";"24.36";"67";"72.00";"198";"3.64";"10";"0.00";"0"
"756";"5";"5";"0";"20.00";"1";"20.00";"1";"0.00";"0";"80.00";"4";"80.00";"4";"0.00";"0";"20.00";"1";"0.00";"0";"0.00";"0";"80.00";"4";"0.00";"0";"20.00";"1";"0.00";"0";"0.00";"0";"80.00";"4";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0"
"761";"4405";"4296";"688";"22.63";"997";"35.80";"1538";"26.89";"185";"77.37";"3408";"64.20";"2758";"73.11";"503";"15.51";"683";"6.11";"269";"1.02";"45";"30.26";"1333";"47.11";"2075";"27.98";"1202";"6.91";"297";"0.91";"39";"28.26";"1214";"35.94";"1544";"22.24";"153";"3.78";"26";"0.87";"6";"27.33";"188";"45.78";"315";"32.93";"108";"66.16";"217";"0.91";"3";"0.00";"0"
