ID;total activity in;total activity out;total activity inout;SHA in percent;SHA in number;SHA out percent;SHA out number;SHA inout percent;SHA inout number;SHA not taken in percent;SHA not taken in number;SHA not taken out percent;SHA not taken out number;SHA not taken inout percent;SHA not taken inout number;IN_NO_ALARM percent;IN_NO_ALARM number;IN_AFTER_ALARM percent;IN_AFTER_ALARM number;IN_DURING_ALARM percent;IN_DURING_ALARM number;NOT_IN_NO_ALARM percent;NOT_IN_NO_ALARM number;NOT_IN_ALARM percent;NOT_IN_ALARM number;OUT_NO_ALARM percent;OUT_NO_ALARM number;OUT_AFTER_ALARM percent;OUT_AFTER_ALARM number;OUT_DURING_ALARM percent;OUT_DURING_ALARM number;NOT_OUT_NO_ALARM percent;NOT_OUT_NO_ALARM number;NOT_OUT_ALARM percent;NOT_OUT_ALARM number;INOUT_NO_ALARM percent;INOUT_NO_ALARM number;INOUT_AFTER_ALARM percent;INOUT_AFTER_ALARM number;INOUT_DURING_ALARM percent;INOUT_DURING_ALARM number;NOT_INOUT_NO_ALARM percent;NOT_INOUT_NO_ALARM number;NOT_INOUT_ALARM percent;NOT_INOUT_ALARM number;ABANDON_IN percent;ABANDON_IN number;ABANDON_OUT percent;ABANDON_OUT number;ABANDON_INOUT percent;ABANDON_INOUT number;IMPOSSIBLE percent;IMPOSSIBLE number
917;544;531;117;70.96;386;77.02;409;54.70;64;29.04;158;22.98;122;45.30;53;65.26;355;3.68;20;2.02;11;11.76;64;17.28;94;70.62;375;4.14;22;2.26;12;16.20;86;6.78;36;52.14;61;0.85;1;1.71;2;39.32;46;5.98;7;38.36;28;56.16;41;5.48;4;0.00;0
918;1641;1596;624;24.07;395;51.75;826;29.17;182;75.93;1246;48.25;770;70.83;442;11.94;196;6.89;113;5.24;86;29.31;481;46.62;765;45.30;723;4.76;76;1.69;27;32.14;513;16.10;257;24.84;155;3.04;19;1.28;8;50.96;318;19.87;124;38.78;95;57.14;140;4.08;10;0.00;0
919;80;77;49;28.75;23;16.88;13;8.16;4;71.25;57;83.12;64;91.84;45;11.25;9;3.75;3;13.75;11;20.00;16;51.25;41;10.39;8;1.30;1;5.19;4;62.34;48;20.78;16;4.08;2;0.00;0;4.08;2;69.39;34;22.45;11;40.00;6;60.00;9;0.00;0;0.00;0
920;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0
921;386;376;55;29.02;112;61.17;230;47.27;26;70.98;274;38.83;146;52.73;29;19.43;75;4.92;19;4.66;18;26.42;102;44.56;172;48.67;183;9.84;37;2.66;10;22.87;86;15.96;60;40.00;22;1.82;1;5.45;3;41.82;23;10.91;6;39.58;19;60.42;29;0.00;0;0.00;0
922;411;400;86;43.07;177;70.00;280;65.12;56;56.93;234;30.00;120;34.88;30;34.55;142;4.62;19;3.89;16;30.41;125;26.52;109;61.50;246;5.75;23;2.75;11;22.00;88;8.00;32;55.81;48;4.65;4;4.65;4;32.56;28;2.33;2;41.18;28;57.35;39;1.47;1;0.00;0
924;577;569;50;73.48;424;79.79;454;66.00;33;26.52;153;20.21;115;34.00;17;68.46;395;3.29;19;1.73;10;11.09;64;15.42;89;69.07;393;9.14;52;1.58;9;12.83;73;7.38;42;56.00;28;8.00;4;2.00;1;22.00;11;12.00;6;42.11;24;56.14;32;1.75;1;0.00;0
925;362;343;99;69.61;252;70.55;242;49.49;49;30.39;110;29.45;101;50.51;50;64.92;235;3.59;13;1.10;4;12.15;44;18.23;66;67.64;232;2.62;9;0.29;1;16.62;57;12.83;44;47.47;47;2.02;2;0.00;0;33.33;33;17.17;17;34.83;31;56.18;50;8.99;8;0.00;0
926;237;233;58;44.30;105;71.67;167;44.83;26;55.70;132;28.33;66;55.17;32;36.71;87;6.33;15;1.27;3;12.24;29;43.46;103;67.81;158;3.86;9;0.00;0;13.73;32;14.59;34;44.83;26;0.00;0;0.00;0;36.21;21;18.97;11;39.29;11;53.57;15;7.14;2;0.00;0
927;159;156;43;63.52;101;67.31;105;41.86;18;36.48;58;32.69;51;58.14;25;59.12;94;4.40;7;0.00;0;8.81;14;27.67;44;64.74;101;2.56;4;0.00;0;15.38;24;17.31;27;41.86;18;0.00;0;0.00;0;30.23;13;27.91;12;33.33;4;58.33;7;8.33;1;0.00;0
929;16;14;0;81.25;13;92.86;13;0.00;0;18.75;3;7.14;1;0.00;0;81.25;13;0.00;0;0.00;0;0.00;0;18.75;3;92.86;13;0.00;0;0.00;0;7.14;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0
932;3;3;0;0.00;0;100.00;3;0.00;0;100.00;3;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;66.67;2;33.33;1;66.67;2;33.33;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;50.00;1;50.00;1;0.00;0;0.00;0
936;2;1;0;100.00;2;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;50.00;1;0.00;0;50.00;1;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0
938;5;5;0;100.00;5;100.00;5;0.00;0;0.00;0;0.00;0;0.00;0;100.00;5;0.00;0;0.00;0;0.00;0;0.00;0;100.00;5;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
940;3;3;2;66.67;2;100.00;3;50.00;1;33.33;1;0.00;0;50.00;1;33.33;1;33.33;1;0.00;0;0.00;0;33.33;1;100.00;3;0.00;0;0.00;0;0.00;0;0.00;0;50.00;1;0.00;0;0.00;0;50.00;1;0.00;0;50.00;1;50.00;1;0.00;0;0.00;0
945;714;709;238;7.42;53;23.13;164;12.61;30;92.58;661;76.87;545;87.39;208;4.06;29;2.94;21;0.42;3;27.59;197;64.99;464;18.90;134;3.95;28;0.28;2;41.33;293;35.54;252;3.78;9;8.40;20;0.42;1;50.42;120;36.97;88;41.03;16;53.85;21;5.13;2;0.00;0
953;24;23;6;70.83;17;69.57;16;83.33;5;29.17;7;30.43;7;16.67;1;41.67;10;12.50;3;16.67;4;20.83;5;8.33;2;69.57;16;0.00;0;0.00;0;17.39;4;13.04;3;50.00;3;0.00;0;33.33;2;0.00;0;16.67;1;42.86;3;57.14;4;0.00;0;0.00;0
954;123;122;23;71.54;88;79.51;97;60.87;14;28.46;35;20.49;25;39.13;9;62.60;77;8.13;10;0.81;1;10.57;13;17.89;22;76.23;93;3.28;4;0.00;0;14.75;18;5.74;7;60.87;14;0.00;0;0.00;0;26.09;6;13.04;3;47.69;31;49.23;32;3.08;2;0.00;0
955;50;51;10;70.00;35;74.51;38;60.00;6;30.00;15;25.49;13;40.00;4;68.00;34;2.00;1;0.00;0;16.00;8;14.00;7;70.59;36;3.92;2;0.00;0;17.65;9;7.84;4;60.00;6;0.00;0;0.00;0;40.00;4;0.00;0;54.55;6;45.45;5;0.00;0;0.00;0
